Episode,Step,Return,Algorithm
889,22,-22.0,PPO
890,11,-11.0,PPO
891,9,-9.0,PPO
892,17,-17.0,PPO
893,11,-11.0,PPO
894,16,-16.0,PPO
895,12,-12.0,PPO
896,16,-16.0,PPO
897,8,-8.0,PPO
898,17,-17.0,PPO
899,12,-12.0,PPO
900,12,-12.0,PPO
901,22,-22.0,PPO
902,13,-13.0,PPO
903,15,-15.0,PPO
904,11,-11.0,PPO
905,8,-8.0,PPO
906,17,-17.0,PPO
907,18,-18.0,PPO
908,14,-14.0,PPO
909,8,-8.0,PPO
910,9,-9.0,PPO
911,21,-21.0,PPO
912,11,-11.0,PPO
913,11,-11.0,PPO
914,9,-9.0,PPO
915,13,-13.0,PPO
916,9,-9.0,PPO
917,11,-11.0,PPO
918,15,-15.0,PPO
919,28,-28.0,PPO
920,12,-12.0,PPO
921,10,-10.0,PPO
922,8,-8.0,PPO
923,18,-18.0,PPO
924,10,-10.0,PPO
925,17,-17.0,PPO
926,9,-9.0,PPO
927,22,-22.0,PPO
928,16,-16.0,PPO
929,9,-9.0,PPO
930,15,-15.0,PPO
931,10,-10.0,PPO
932,11,-11.0,PPO
933,8,-8.0,PPO
934,12,-12.0,PPO
935,16,-16.0,PPO
936,16,-16.0,PPO
937,8,-8.0,PPO
938,10,-10.0,PPO
939,23,-23.0,PPO
940,11,-11.0,PPO
941,27,-27.0,PPO
942,14,-14.0,PPO
943,17,-17.0,PPO
944,11,-11.0,PPO
945,15,-15.0,PPO
946,13,-13.0,PPO
947,10,-10.0,PPO
948,19,-19.0,PPO
949,8,-8.0,PPO
950,8,-8.0,PPO
951,9,-9.0,PPO
952,9,-9.0,PPO
953,12,-12.0,PPO
954,9,-9.0,PPO
955,10,-10.0,PPO
956,12,-12.0,PPO
957,11,-11.0,PPO
958,9,-9.0,PPO
959,9,-9.0,PPO
960,9,-9.0,PPO
961,16,-16.0,PPO
962,9,-9.0,PPO
963,10,-10.0,PPO
964,10,-10.0,PPO
965,11,-11.0,PPO
966,16,-16.0,PPO
967,8,-8.0,PPO
968,14,-14.0,PPO
969,10,-10.0,PPO
970,18,-18.0,PPO
971,10,-10.0,PPO
972,15,-15.0,PPO
973,14,-14.0,PPO
974,12,-12.0,PPO
975,11,-11.0,PPO
976,8,-8.0,PPO
977,8,-8.0,PPO
978,14,-14.0,PPO
979,8,-8.0,PPO
980,13,-13.0,PPO
981,8,-8.0,PPO
982,11,-11.0,PPO
983,8,-8.0,PPO
984,8,-8.0,PPO
985,8,-8.0,PPO
986,13,-13.0,PPO
987,17,-17.0,PPO
988,9,-9.0,PPO
989,11,-11.0,PPO
990,11,-11.0,PPO
991,13,-13.0,PPO
992,10,-10.0,PPO
993,8,-8.0,PPO
994,12,-12.0,PPO
995,10,-10.0,PPO
996,11,-11.0,PPO
997,13,-13.0,PPO
998,13,-13.0,PPO
999,9,-9.0,PPO
1000,11,-11.0,PPO
1001,12,-12.0,PPO
1002,8,-8.0,PPO
1003,9,-9.0,PPO
1004,14,-14.0,PPO
1005,8,-8.0,PPO
1006,10,-10.0,PPO
1007,18,-18.0,PPO
1008,15,-15.0,PPO
1009,8,-8.0,PPO
1010,16,-16.0,PPO
1011,8,-8.0,PPO
1012,15,-15.0,PPO
1013,9,-9.0,PPO
1014,9,-9.0,PPO
1015,9,-9.0,PPO
1016,14,-14.0,PPO
1017,10,-10.0,PPO
1018,11,-11.0,PPO
1019,15,-15.0,PPO
1020,11,-11.0,PPO
1021,13,-13.0,PPO
1022,9,-9.0,PPO
1023,10,-10.0,PPO
1024,9,-9.0,PPO
1025,8,-8.0,PPO
1026,14,-14.0,PPO
1027,11,-11.0,PPO
1028,11,-11.0,PPO
1029,13,-13.0,PPO
1030,11,-11.0,PPO
1031,17,-17.0,PPO
1032,17,-17.0,PPO
1033,9,-9.0,PPO
1034,11,-11.0,PPO
1035,10,-10.0,PPO
1036,9,-9.0,PPO
1037,8,-8.0,PPO
1038,8,-8.0,PPO
1039,13,-13.0,PPO
1040,13,-13.0,PPO
1041,11,-11.0,PPO
1042,12,-12.0,PPO
1043,12,-12.0,PPO
1044,9,-9.0,PPO
1045,12,-12.0,PPO
1046,8,-8.0,PPO
1047,8,-8.0,PPO
1048,14,-14.0,PPO
1049,9,-9.0,PPO
1050,17,-17.0,PPO
1051,10,-10.0,PPO
1052,23,-23.0,PPO
1053,10,-10.0,PPO
1054,10,-10.0,PPO
1055,17,-17.0,PPO
1056,15,-15.0,PPO
1057,11,-11.0,PPO
1058,11,-11.0,PPO
1059,9,-9.0,PPO
1060,10,-10.0,PPO
1061,15,-15.0,PPO
1062,11,-11.0,PPO
1063,12,-12.0,PPO
1064,13,-13.0,PPO
